gene_id,gene_name,gene_type,mean_abs_shap
ENSG00000275180.1,RP11-631N16.4,lincRNA,0.029328983
ENSG00000272760.1,RP11-5C23.1,antisense,0.02921802
ENSG00000227258.5,SMIM2-AS1,antisense,0.029143266
ENSG00000266869.1,RP6-114E22.1,lincRNA,0.02910696
ENSG00000272172.1,RP13-582O9.7,antisense,0.029012382
ENSG00000240401.8,AC012358.8,antisense,0.028968647
ENSG00000223764.2,RP11-54O7.3,lincRNA,0.028910685
ENSG00000278834.1,RP11-458J1.1,antisense,0.028888041
ENSG00000262686.1,GLIS2-AS1,lincRNA,0.028762763
ENSG00000225706.1,PTPRD-AS1,lincRNA,0.028762387
ENSG00000259460.1,RP11-128A17.1,antisense,0.028748808
ENSG00000259802.1,CTD-2256P15.2,antisense,0.028730595
ENSG00000267896.1,AC018766.4,antisense,0.028709784
ENSG00000186019.10,AC084219.4,antisense,0.028648097
ENSG00000170161.6,RP11-262H14.4,lincRNA,0.028614452
ENSG00000261455.1,LINC01003,lincRNA,0.028543362
ENSG00000245556.2,SCAMP1-AS1,lincRNA,0.028505523
ENSG00000251141.5,RP11-53O19.1,antisense,0.028491147
ENSG00000250564.1,RP11-215P8.4,lincRNA,0.028487908
ENSG00000225361.3,PPP1R26-AS1,antisense,0.0284081
ENSG00000214401.4,KANSL1-AS1,antisense,0.028367983
ENSG00000230438.6,SERPINB9P1,lincRNA,0.028366301
ENSG00000277782.1,RP11-775C24.5,lincRNA,0.028305903
ENSG00000262001.1,DLGAP1-AS2,antisense,0.028213497
ENSG00000256894.1,RP11-283G6.3,antisense,0.028181965
ENSG00000253888.1,RP11-521M14.1,antisense,0.028140444
ENSG00000259342.1,RP11-519G16.5,antisense,0.02800118
ENSG00000261600.1,RP11-575H3.1,lincRNA,0.027793812
ENSG00000260918.1,RP11-731J8.2,sense_overlapping,0.027784387
ENSG00000257556.1,RP11-44N21.1,lincRNA,0.027774878
ENSG00000154537.4,FAM27C,lincRNA,0.027751375
ENSG00000263400.6,TMEM220-AS1,antisense,0.027749293
ENSG00000260091.1,RP11-33B1.4,lincRNA,0.02768436
ENSG00000247095.2,MIR210HG,lincRNA,0.027679568
ENSG00000273466.1,RP11-548H3.1,antisense,0.027667617
ENSG00000265519.1,CTD-3157E16.1,lincRNA,0.02759028
ENSG00000224616.1,RTCA-AS1,antisense,0.027464567
ENSG00000278175.2,GLIDR,lincRNA,0.027454976
ENSG00000268621.5,AC006262.5,lincRNA,0.027370363
ENSG00000274561.1,RP11-147L13.12,lincRNA,0.027339574
ENSG00000265246.1,RP11-663N22.1,lincRNA,0.027319385
ENSG00000268650.3,AC068499.10,antisense,0.027311012
ENSG00000226939.1,AC062021.1,lincRNA,0.027304579
ENSG00000231187.2,RP11-38L15.3,antisense,0.027303651
ENSG00000278231.1,RP5-906C1.1,lincRNA,0.027283572
ENSG00000270761.1,RP11-385F7.1,lincRNA,0.0272648
ENSG00000255686.1,RP11-227B21.2,lincRNA,0.027255867
ENSG00000273221.1,RP5-1180E21.5,antisense,0.027209679
ENSG00000260317.1,RP11-48B3.4,lincRNA,0.027170664
ENSG00000224167.1,RP3-522D1.1,lincRNA,0.027113108
ENSG00000228106.5,RP11-452F19.3,lincRNA,0.027071204
ENSG00000237499.6,RP11-356I2.4,antisense,0.027053868
ENSG00000278133.1,RP11-196G11.5,sense_intronic,0.027050992
ENSG00000203644.3,RP11-332M2.1,sense_intronic,0.027000481
ENSG00000225377.5,NRSN2-AS1,antisense,0.026978878
ENSG00000226738.1,CTA-384D8.31,antisense,0.026936756
ENSG00000232533.1,AC093673.5,antisense,0.026901618
ENSG00000256569.1,RP11-173P15.5,antisense,0.02679593
ENSG00000248890.1,HHIP-AS1,antisense,0.026745576
ENSG00000273472.1,RP11-102N12.3,lincRNA,0.026692772
ENSG00000240731.1,RP5-890O3.9,sense_intronic,0.02669031
ENSG00000116883.8,RP11-268J15.5,antisense,0.026681472
ENSG00000250432.5,RP11-834C11.5,lincRNA,0.026584482
ENSG00000228952.1,RP11-567G11.1,lincRNA,0.026571397
ENSG00000167912.5,RP11-25K19.1,antisense,0.026564093
ENSG00000231683.6,RP1-27K12.2,lincRNA,0.026517935
ENSG00000231312.6,AC007246.3,antisense,0.026473496
ENSG00000268941.2,RP5-907D15.4,lincRNA,0.026435064
ENSG00000234184.5,RP5-887A10.1,lincRNA,0.026417617
ENSG00000242861.1,RP11-285F7.2,antisense,0.026402282
ENSG00000256124.5,LINC01152,lincRNA,0.026193019
ENSG00000231999.6,FLJ27354,antisense,0.026095087
ENSG00000246695.7,RASSF8-AS1,antisense,0.025931604
ENSG00000237343.1,RP11-763B22.4,lincRNA,0.02591386
ENSG00000280279.1,RP11-1228E12.1,lincRNA,0.025822068
ENSG00000260231.1,JHDM1D-AS1,antisense,0.025778165
ENSG00000226465.1,RP13-401N8.1,antisense,0.025688568
ENSG00000268204.1,CTD-3214H19.6,antisense,0.025624495
ENSG00000261662.1,RP5-1042I8.7,sense_overlapping,0.025595175
ENSG00000261534.1,RP11-244O19.1,sense_overlapping,0.025582414
ENSG00000243701.5,LINC00883,lincRNA,0.02556545
ENSG00000257303.1,RP11-977G19.11,antisense,0.025551794
ENSG00000253982.1,CTD-2336O2.1,antisense,0.02552573
ENSG00000236039.1,AC019117.2,lincRNA,0.025523579
ENSG00000235106.8,LINC00094,antisense,0.025499055
ENSG00000224272.2,AC114730.3,antisense,0.02546327
ENSG00000268858.2,RP4-591C20.9,antisense,0.025438221
ENSG00000237181.1,AC147651.4,antisense,0.02542116
ENSG00000263164.1,RP11-333E1.2,lincRNA,0.025412478
ENSG00000267523.1,CTD-2537I9.12,antisense,0.0253846
ENSG00000231609.5,AC009501.4,antisense,0.025368067
ENSG00000263004.1,RP11-166P13.3,lincRNA,0.025353564
ENSG00000257261.5,RP11-96H19.1,lincRNA,0.025333883
ENSG00000196810.4,CTBP1-AS2,antisense,0.025268419
ENSG00000238266.1,LINC00707,lincRNA,0.025227863
ENSG00000250056.5,LINC01018,lincRNA,0.025108058
ENSG00000218357.3,LL22NC03-75H12.2,lincRNA,0.025085233
ENSG00000258985.1,RP11-368P15.3,antisense,0.025002925
ENSG00000204623.8,ZNRD1-AS1,antisense,0.024990067
ENSG00000262089.1,RP11-589P10.5,lincRNA,0.02497892
ENSG00000261586.2,RP11-923I11.6,lincRNA,0.024783708
ENSG00000226007.2,RP11-211N8.2,lincRNA,0.024751969
ENSG00000278626.1,RP11-467L19.16,lincRNA,0.02466574
ENSG00000223799.1,IL10RB-AS1,antisense,0.024584899
ENSG00000177406.4,RP11-218M22.1,antisense,0.024520269
ENSG00000203497.2,PDCD4-AS1,antisense,0.024421606
ENSG00000263011.1,RP11-473M20.11,sense_overlapping,0.02438725
ENSG00000271780.1,RP11-1017G21.5,lincRNA,0.024300236
ENSG00000267892.1,CTD-2540F13.2,antisense,0.02425196
ENSG00000225127.2,LINC00237,lincRNA,0.024246596
ENSG00000259623.1,RP11-156E6.1,sense_overlapping,0.024238763
ENSG00000272970.1,RP11-329B9.4,lincRNA,0.024210991
ENSG00000230316.6,FEZF1-AS1,antisense,0.024135167
ENSG00000268496.1,CTD-2587H19.2,sense_intronic,0.024072248
ENSG00000229116.2,RP11-20J15.3,lincRNA,0.024069116
ENSG00000182109.7,RP11-69E11.4,antisense,0.024038494
ENSG00000253522.3,CTC-231O11.1,lincRNA,0.023945738
ENSG00000278730.1,RP11-147L13.11,lincRNA,0.023928983
ENSG00000256092.2,RP13-942N8.1,lincRNA,0.02386444
ENSG00000225434.2,LINC01504,lincRNA,0.02385159
ENSG00000268996.3,MAN1B1-AS1,antisense,0.023810372
ENSG00000254166.1,CASC19,lincRNA,0.023786752
ENSG00000242539.2,AC007620.3,antisense,0.023716474
ENSG00000260740.2,AC026471.6,antisense,0.023711195
ENSG00000272755.1,RP11-326G21.1,lincRNA,0.023589903
ENSG00000267045.1,AC006126.4,lincRNA,0.023578515
ENSG00000255571.6,LINC00925,lincRNA,0.023559999
ENSG00000226711.6,FAM66C,antisense,0.02354832
ENSG00000268006.1,PTOV1-AS1,antisense,0.023480535
ENSG00000228742.9,RP5-884M6.1,lincRNA,0.023451854
ENSG00000255191.1,RP11-626H12.1,lincRNA,0.023436056
ENSG00000253930.1,RP11-1149O23.2,antisense,0.023415273
ENSG00000230812.5,LINC01358,lincRNA,0.023385402
